filename,NOSE_x,NOSE_y,NOSE_score,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_score,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_score,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_score,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_score,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_score,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_score,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_score,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_score,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_score,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_score,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_score,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_score,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_score,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_score,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_score,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_score,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_score,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_score,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_score,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_score,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_score,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_score,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_score,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_score,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_score,class_no,class_name
Adho Mukha Svanasana/10823.jpg,0.6292062,0.41038597,0.9999943,0.6498216,0.38799077,0.9999914,0.64867556,0.38499948,0.9999939,0.6476229,0.38172102,0.99999094,0.64988524,0.3877975,0.9999894,0.6486427,0.38516957,0.99999297,0.6472996,0.3822726,0.9999889,0.62829113,0.35782868,0.9999865,0.6292727,0.36437905,0.9999914,0.5980121,0.41287452,0.99998593,0.6001153,0.41024524,0.99998283,0.5185934,0.35765243,0.99977165,0.5286595,0.38196492,0.99994516,0.68519855,0.3252058,0.2827905,0.7208599,0.3667987,0.9992907,0.8124442,0.2818839,0.7293049,0.9137822,0.3022792,0.99950707,0.82025033,0.24273133,0.919265,0.9435413,0.26795828,0.9973007,0.8269073,0.24341035,0.92827404,0.9336887,0.25438496,0.9943857,0.8285862,0.25770187,0.9173372,0.9219845,0.2622809,0.98866653,0.10180104,0.53453845,0.9990903,0.10341113,0.5529218,0.9995741,0.31879866,0.7515748,0.20300594,0.3399822,0.76269495,0.99765235,0.5508435,0.94488156,0.7268691,0.5677565,0.95859224,0.99813217,0.57534134,0.9856006,0.8907077,0.583242,1.0339313,0.9990395,0.6736438,0.8919967,0.9643708,0.6982056,0.90721416,0.9987632,0,Adho Mukha Svanasana
Adho Mukha Svanasana/10874.jpg,0.58242625,0.7615224,0.99630547,0.5967317,0.76480913,0.99634737,0.59517187,0.76413876,0.99667466,0.5751807,0.7649282,0.9966397,0.60650885,0.7609786,0.9977787,0.6056778,0.76057494,0.9977174,0.60486096,0.7604946,0.997031,0.57074386,0.7456018,0.99722916,0.5830288,0.742928,0.99842536,0.5780608,0.7460824,0.99738854,0.5846731,0.74550056,0.99779546,0.54949516,0.7036554,0.99689853,0.56957006,0.6620642,0.99395025,0.5802808,0.770134,0.7231384,0.55381405,0.68001354,0.2878879,0.65132153,0.8589934,0.7028783,0.5967469,0.72658324,0.37959164,0.6660898,0.8774377,0.6902111,0.5978501,0.7279778,0.31953946,0.66610324,0.8745836,0.64269173,0.60941076,0.72838455,0.28941002,0.6604817,0.86922574,0.64959186,0.6088664,0.7287615,0.2773958,0.4143561,0.49596846,0.99982196,0.4499474,0.4891955,0.99958533,0.3128198,0.38760853,0.9650903,0.486378,0.4033937,0.8495643,0.49943963,0.52609396,0.82522017,0.5898355,0.59081656,0.61011755,0.53367716,0.5384625,0.86248964,0.60461015,0.6124659,0.66074485,0.53416777,0.583483,0.85282254,0.6003552,0.6516417,0.62094986,0,Adho Mukha Svanasana
Adho Mukha Svanasana/10919.jpg,0.6452753,0.52187836,0.99998474,0.6699825,0.5190184,0.9999808,0.67083675,0.51744586,0.9999876,0.67248863,0.5153252,0.99997973,0.67199147,0.5158906,0.9999759,0.67371684,0.5125426,0.9999851,0.67594266,0.5085738,0.99997437,0.67915016,0.48495272,0.99997866,0.6821808,0.47884777,0.99998343,0.6257442,0.50823706,0.9999713,0.6308006,0.5033181,0.9999653,0.6049739,0.42744732,0.9990313,0.6375838,0.41675586,0.9997831,0.73234165,0.48770252,0.21321885,0.76356274,0.49635887,0.9991737,0.87377995,0.4757566,0.5560525,0.95463157,0.4976483,0.99898523,0.8992293,0.44698882,0.8208188,0.9954488,0.48855162,0.99530834,0.9024879,0.44395775,0.8416402,0.9866078,0.47328362,0.991013,0.89384145,0.45362937,0.82432485,0.9691798,0.4770481,0.9828401,0.23145163,0.2690435,0.99639773,0.24385045,0.25390378,0.99870276,0.29240632,0.5512029,0.3268577,0.31028712,0.5524069,0.9986474,0.33246434,0.7975818,0.77125573,0.34718564,0.8555536,0.9987501,0.30718994,0.8439721,0.87500316,0.31639615,0.9114295,0.99905366,0.43280518,0.8151547,0.9661084,0.4412015,0.85327005,0.99901724,0,Adho Mukha Svanasana
Adho Mukha Svanasana/11302.jpg,0.2648495,0.37047565,0.99994445,0.24836323,0.37761593,0.9999236,0.24817038,0.379578,0.9999392,0.24784589,0.38181114,0.9999052,0.2481277,0.38098687,0.99991655,0.24791685,0.38487744,0.9999392,0.24763003,0.38880938,0.9999136,0.25382248,0.41010675,0.9998524,0.2535245,0.4152022,0.99991894,0.28160313,0.38323966,0.9998399,0.28036696,0.38703823,0.9998299,0.327333,0.45143455,0.9984363,0.31837258,0.4635409,0.9992719,0.21496797,0.4085855,0.2470197,0.20369086,0.41474253,0.9969633,0.09704095,0.41517255,0.48702142,0.06401193,0.40675655,0.9957617,0.06390524,0.4358256,0.73766136,0.035024583,0.42119265,0.9875924,0.061640024,0.4378409,0.7501956,0.035217643,0.42957246,0.9796973,0.0714944,0.43196455,0.7439351,0.04411143,0.42663503,0.96862215,0.61525685,0.5300661,0.9980738,0.6283246,0.5428221,0.99821246,0.5455615,0.32786593,0.1644039,0.55069697,0.32678103,0.99700433,0.47445446,0.12308487,0.49158138,0.4731779,0.10244882,0.9974522,0.47577253,0.073369116,0.67293227,0.48056638,0.051573396,0.99825937,0.38742036,0.11118978,0.8177445,0.38593534,0.10018104,0.99717146,0,Adho Mukha Svanasana
Adho Mukha Svanasana/11468.jpg,0.5663717,0.6163288,0.99950016,0.5730139,0.643121,0.999572,0.57582694,0.64385855,0.9994848,0.5790828,0.6447319,0.99947387,0.57518184,0.6432387,0.9995678,0.5791628,0.6440573,0.99948466,0.58351886,0.6450778,0.9995296,0.6136554,0.6420762,0.9991689,0.6151501,0.6428926,0.9993529,0.5811429,0.5923648,0.9979394,0.5835521,0.5933639,0.99855584,0.65650934,0.5418629,0.99514365,0.66402155,0.53584015,0.99802077,0.6808231,0.72213304,0.20267555,0.6735455,0.7170267,0.9382822,0.74885607,0.8864231,0.35775563,0.73879904,0.9073233,0.90498495,0.7829107,0.9123623,0.34609222,0.7680044,0.93364793,0.868489,0.7819876,0.9164668,0.34850717,0.77642256,0.93473846,0.86388797,0.7698075,0.90967494,0.32846326,0.76703006,0.9254653,0.85819304,0.5390821,0.2037614,0.99821424,0.52647597,0.17695831,0.99856466,0.30218226,0.39660248,0.1409533,0.27929994,0.4010184,0.97273624,0.043593764,0.578527,0.14757559,0.027957141,0.5828692,0.9573029,0.0012247562,0.5901867,0.18724537,-0.010313392,0.5994487,0.9545267,0.07562846,0.70645386,0.19245444,0.057748556,0.71019655,0.9314095,0,Adho Mukha Svanasana
Adho Mukha Svanasana/11640.jpg,0.4308868,0.68321383,0.99993753,0.43202853,0.70308006,0.9999262,0.43401653,0.70432794,0.9999392,0.43638885,0.705888,0.9999224,0.4332109,0.7031677,0.9999075,0.43558887,0.7042618,0.9999243,0.4381528,0.70557934,0.99990773,0.46433416,0.71166784,0.9999051,0.4605862,0.7082796,0.99991715,0.44615197,0.67416704,0.99986434,0.44633466,0.674792,0.9998522,0.53279436,0.66995645,0.9987531,0.50886136,0.6727082,0.9996532,0.45724404,0.7740445,0.27086434,0.43193877,0.7770266,0.99489045,0.41166952,0.87900233,0.6020422,0.3712291,0.91932404,0.99535996,0.4205137,0.91326904,0.805098,0.3715451,0.94545233,0.9876466,0.415846,0.9181118,0.8192096,0.3808307,0.9515526,0.9809914,0.41045496,0.9091033,0.8052745,0.38103658,0.9413128,0.9703775,0.6874023,0.40097964,0.9984592,0.6887542,0.38910595,0.9991985,0.4881857,0.37100154,0.16488951,0.47593567,0.35852653,0.99202746,0.2873447,0.3715642,0.44554532,0.26269236,0.36309806,0.9898341,0.2501616,0.352586,0.62791353,0.23278937,0.3419408,0.9941333,0.23678276,0.44810224,0.7823971,0.24523395,0.44958654,0.99115527,0,Adho Mukha Svanasana
Adho Mukha Svanasana/11641.jpg,0.031790927,0.7231739,0.9996791,0.03151183,0.73403925,0.9995183,0.032080352,0.73463595,0.99962723,0.032839432,0.73525566,0.9994661,0.033982992,0.7363327,0.999338,0.036179975,0.7385527,0.9995365,0.038481772,0.7408081,0.9993901,0.048672587,0.74136317,0.99934894,0.052499205,0.7468513,0.99957544,0.039413154,0.7194897,0.9993311,0.042047143,0.7219685,0.99925596,0.082615525,0.7118416,0.9982576,0.09490902,0.7309324,0.99973387,0.035571694,0.77023786,0.11937906,0.04042563,0.7979273,0.9978801,0.01253438,0.8462453,0.3582465,0.008017987,0.8871091,0.9981433,0.019326225,0.85982,0.61057496,0.0072217286,0.90876687,0.993598,0.02036202,0.8647033,0.6298338,0.009806603,0.9093722,0.98928905,0.018477693,0.8631416,0.6193688,0.009611726,0.90421563,0.9827576,0.1872522,0.54984325,0.99378335,0.1982453,0.55254126,0.9975916,0.054961488,0.4836016,0.20015462,0.06884663,0.48753247,0.994592,-0.038152963,0.4438239,0.5373034,-0.049509123,0.4313909,0.99229383,-0.07882969,0.41807508,0.7097129,-0.06564124,0.41375935,0.9946325,-0.09902872,0.47164118,0.8340901,-0.083071575,0.46705028,0.9929201,0,Adho Mukha Svanasana
Adho Mukha Svanasana/11998.jpg,0.5585064,0.43814325,0.9988267,0.5457015,0.44654876,0.9992132,0.5453819,0.44804677,0.99907506,0.54530466,0.4498018,0.9992829,0.545745,0.44875637,0.9989059,0.5452901,0.45147514,0.9987072,0.54500306,0.45440587,0.999062,0.5504914,0.47095203,0.99913436,0.54840803,0.47386664,0.9986749,0.57061136,0.445769,0.9979625,0.570656,0.4482658,0.9980902,0.59346503,0.5062157,0.9939731,0.58484936,0.50909513,0.99951005,0.51860046,0.48994556,0.19062941,0.49901706,0.4889939,0.9902384,0.4344493,0.49096748,0.33453575,0.3972503,0.49111333,0.9883487,0.40754423,0.5047616,0.3707389,0.36847717,0.5034116,0.9812626,0.40336022,0.5091359,0.3782073,0.37001464,0.5099626,0.9792838,0.41148797,0.50423867,0.38000283,0.3796464,0.5075263,0.9731468,0.79608226,0.5397482,0.9939814,0.8041289,0.54725015,0.99785197,0.83013475,0.35955024,0.16804616,0.8408691,0.3530904,0.96863055,0.8636303,0.18178591,0.17379451,0.883067,0.17098343,0.95319575,0.86747897,0.15315422,0.2561807,0.89445925,0.14035991,0.9609558,0.82057,0.15225524,0.23811577,0.837482,0.13636756,0.9371339,0,Adho Mukha Svanasana
Adho Mukha Svanasana/12874.jpg,0.50249094,0.544654,0.9992737,0.47768408,0.544961,0.9993826,0.47369376,0.54125124,0.99945146,0.46950427,0.53755337,0.9993937,0.47999263,0.5465199,0.99952984,0.47791386,0.54404145,0.99956936,0.475436,0.5417313,0.9994199,0.4505632,0.5032745,0.9993787,0.45762745,0.51226634,0.9990829,0.50572586,0.51953155,0.9981357,0.5094372,0.52224904,0.99730504,0.45886582,0.41337225,0.9991054,0.5163066,0.42174804,0.99487114,0.29866898,0.42576465,0.9514637,0.34873897,0.4247467,0.27681738,0.13565409,0.40022072,0.8520197,0.18845242,0.39740768,0.24038179,0.10248774,0.37026805,0.74976236,0.15089107,0.3648671,0.23887263,0.11045593,0.36210954,0.72734433,0.15374947,0.3632109,0.24803585,0.12668818,0.37067804,0.74711645,0.16691488,0.37205204,0.25066212,0.7518595,0.19827774,0.99844956,0.7649464,0.1981281,0.9967024,0.7775515,0.5334286,0.9702279,0.77430123,0.51103693,0.16453145,0.77170897,0.8505237,0.9622825,0.7360797,0.81678843,0.30326942,0.7869214,0.8943577,0.9576372,0.794935,0.8611004,0.27959064,0.68416977,0.9483099,0.9655367,0.680472,0.91330177,0.40314698,0,Adho Mukha Svanasana
Adho Mukha Svanasana/13401.jpg,0.6100774,0.13382742,0.9603721,0.5989521,0.13318247,0.9291628,0.59678435,0.13044034,0.9218442,0.5947073,0.12769139,0.9118127,0.6048678,0.14142019,0.9703987,0.60659635,0.14419429,0.96708196,0.6083117,0.1469412,0.9586115,0.593884,0.12383324,0.8789833,0.61364585,0.15105525,0.9595546,0.61337376,0.12753412,0.86201584,0.61901295,0.13659722,0.93950003,0.5953801,0.11201625,0.9618461,0.6622902,0.16727751,0.9972594,0.54151076,0.15676676,0.54895395,0.69816726,0.20372213,0.34873143,0.48012578,0.21320225,0.43017855,0.66799664,0.24538381,0.28516427,0.46073088,0.22567965,0.44341114,0.66308224,0.25500175,0.2850995,0.46280634,0.22922322,0.42576462,0.654887,0.25385767,0.28832415,0.47062728,0.22566864,0.45696783,0.65438724,0.24940191,0.30785397,0.6872935,0.057970908,0.98279774,0.7265936,0.095977016,0.99781775,0.5869605,0.1124329,0.75587565,0.71172094,0.22174895,0.9798078,0.48149052,0.21531805,0.90361476,0.7332468,0.32577035,0.99365616,0.46969587,0.22991702,0.864377,0.7339311,0.33460587,0.989712,0.4461227,0.2465218,0.857708,0.7475945,0.3674644,0.9792636,0,Adho Mukha Svanasana
